Customer_ID,Customer_Name,Age,Gender,City,Segment,Transaction_ID,Product,Category,Quantity,Price,Payment_Method,Total_Sales
C056,Customer_56,23,Male,Chennai,Premium,T056,Keyboard,Electronics,3,500,Cash,1500
C057,Customer_57,48,Male,Bangalore,Regular,T057,Laptop,Electronics,3,2000,Cash,6000
C058,Customer_58,37,Male,Chennai,Premium,T058,Keyboard,Accessories,5,500,Cash,2500
C059,Customer_59,45,Female,Hyderabad,New,T059,Tablet,Accessories,5,750,UPI,3750
C060,Customer_60,53,Female,Coimbatore,Premium,T060,Keyboard,Electronics,2,500,Cash,1000
C061,Customer_61,29,Female,Chennai,Premium,T061,Laptop,Accessories,4,1000,Cash,4000
C062,Customer_62,55,Female,Chennai,New,T062,Tablet,Accessories,2,500,Cash,1000
C063,Customer_63,33,Male,Bangalore,Premium,T063,Keyboard,Electronics,4,2000,Cash,8000
C064,Customer_64,50,Female,Bangalore,Premium,T064,Tablet,Accessories,4,2500,Card,10000
C065,Customer_65,34,Male,Hyderabad,New,T065,Phone,Electronics,5,1500,UPI,7500
C066,Customer_66,27,Male,Coimbatore,Premium,T066,Phone,Electronics,1,500,Cash,500
C067,Customer_67,33,Female,Bangalore,New,T067,Keyboard,Electronics,1,2000,Cash,2000
C068,Customer_68,42,Female,Chennai,Premium,T068,Tablet,Electronics,3,2000,Cash,6000
C069,Customer_69,59,Female,Coimbatore,New,T069,Laptop,Electronics,5,2500,UPI,12500
C070,Customer_70,40,Female,Coimbatore,New,T070,Keyboard,Electronics,4,1000,Card,4000
C071,Customer_71,35,Female,Chennai,Premium,T071,Phone,Electronics,1,2000,UPI,2000
C072,Customer_72,37,Female,Bangalore,Premium,T072,Phone,Accessories,4,2000,Card,8000
C073,Customer_73,43,Female,Chennai,Premium,T073,Keyboard,Electronics,1,2000,Cash,2000
C074,Customer_74,45,Female,Coimbatore,Regular,T074,Tablet,Electronics,1,2000,Cash,2000
C075,Customer_75,44,Male,Delhi,Regular,T075,Phone,Accessories,1,750,UPI,750
C076,Customer_76,60,Female,Delhi,Regular,T076,Tablet,Accessories,5,750,UPI,3750
C077,Customer_77,48,Female,Hyderabad,New,T077,Phone,Accessories,2,1000,Card,2000
C078,Customer_78,34,Male,Chennai,Premium,T078,Phone,Electronics,4,500,Card,2000
C079,Customer_79,20,Female,Chennai,New,T079,Headphones,Accessories,5,2000,UPI,10000
C080,Customer_80,44,Male,Hyderabad,Regular,T080,Phone,Electronics,5,2500,Card,12500
C081,Customer_81,26,Male,Hyderabad,Premium,T081,Laptop,Electronics,5,500,UPI,2500
C082,Customer_82,28,Female,Hyderabad,New,T082,Keyboard,Electronics,5,2500,Card,12500
C083,Customer_83,43,Male,Coimbatore,Premium,T083,Keyboard,Electronics,5,500,UPI,2500
C084,Customer_84,20,Male,Chennai,New,T084,Tablet,Accessories,3,1000,UPI,3000
C085,Customer_85,27,Male,Coimbatore,Premium,T085,Phone,Accessories,4,2000,UPI,8000
C086,Customer_86,43,Male,Hyderabad,Regular,T086,Laptop,Electronics,5,2000,Card,10000
C087,Customer_87,30,Female,Chennai,Regular,T087,Tablet,Electronics,4,1500,Card,6000
C088,Customer_88,36,Male,Coimbatore,Premium,T088,Headphones,Electronics,3,2500,Card,7500
C089,Customer_89,27,Female,Coimbatore,New,T089,Tablet,Accessories,3,500,UPI,1500
C090,Customer_90,54,Male,Hyderabad,Regular,T090,Tablet,Electronics,4,500,Card,2000
C091,Customer_91,54,Male,Chennai,Regular,T091,Phone,Electronics,1,750,Card,750
C092,Customer_92,52,Male,Hyderabad,Regular,T092,Headphones,Accessories,2,1500,UPI,3000
C093,Customer_93,24,Male,Chennai,Premium,T093,Tablet,Accessories,1,750,Cash,750
C094,Customer_94,58,Female,Delhi,Premium,T094,Laptop,Electronics,1,750,UPI,750
C095,Customer_95,60,Female,Bangalore,New,T095,Laptop,Accessories,1,750,Card,750
C096,Customer_96,47,Male,Bangalore,New,T096,Keyboard,Accessories,5,2500,UPI,12500
C097,Customer_97,26,Male,Bangalore,New,T097,Headphones,Electronics,3,2500,Cash,7500
C098,Customer_98,28,Female,Hyderabad,Premium,T098,Headphones,Accessories,1,1000,UPI,1000
C099,Customer_99,27,Male,Delhi,Premium,T099,Keyboard,Electronics,3,1000,Card,3000
C100,Customer_100,31,Male,Chennai,New,T100,Tablet,Accessories,4,750,Cash,3000
